label,text
neutral,"Сегодня вдруг вспомнилось, как мы когда-то договаривались просто выйти на пять минут, а потом могли сидеть до темноты и молчать. Странно, сколько таких разговоров уходит в никуда."
neutral,"Забанили в Гугле

Обращаюсь за помощью к тем, кто сталкивался с подобной проблемой или хотя бы понимает, что вообще происходит. Нас забанили в Гугле и планируют в Яндексе. Периодически (можно читать - постоянно) выскакивают вот такие сообщения.
В общем, пишут, что мы посылаем слишком много запросов. Что это может быть и с чем связано?

P.S.: Антивирусом проверился. Всё чисто. Avast. Лицензионный."
negative,"Давно пора было выгнать этих неудачников рождена и нилу, хочется верить в объективность зрительского голосования."
negative,"Вот что за люди! в ВК чуть ли не каждый день здороваются, а при встрече даже внимания не обратят!"
neutral,"Письмо от друга из армии: ""Нас тут учат убирать снег и варить картошку..."
positive,"Леха, это самое милое, что ты могла сделать:)) я в деле )))"
neutral,"Это уже третий раз за день, когда я переслушиваю этот трек 🙄 заело нормально так"
neutral,"Я НАДЕЮСЬ НЕ ХВАТАЕТ НАС С ТАНЕЙ, А ТО ПРИБЬЕМ!!!!!!!!!!!!!!!"
positive,Скучаю за вами друзяшки:)
positive,"Так странно: ночь шумит в стакане, двор пахнет мокрым асфальтом и весной. И почему у телефонов кирпичи ловят очарование быстрее света Так бы прижаться к чьему-нибудь плечу и не думать ни о дедлайне, ни о пустом кофе."
positive,"И это лучше, чем твоя Норвегия.
А если бы не мешал, было бы еще лучше!"
neutral,"Што правда, то правда"
neutral,Везёт же Мелу Гибсону.
neutral,"Не знаю, о чем я тоскую.
Покоя душе моей нет.
Забыть ни на миг не могу я
Преданье далеких лет.

Дохнуло прохладой. Темнеет.
Струится река в тишине.
Вершина горы пламенеет
Над Рейном в закатном огне.

Девушка в светлом наряде
Сидит над обрывом крутым,
И блещут, как золото, пряди
Под гребнем ее золотым.

Проводит по золоту гребнем
И песню поет она.
И власти и силы волшебной
Зовущая песня полна.

Пловец в челноке беззащитном
С тоскою глядит в вышину.
Несется он к скалам гранитным,
Но видит ее одну.

А скалы кругом все отвесней,
А волны - круче и злей.
И, верно, погубит песней
Пловца и челнок Лорелей.

(с) Генрих Гейне - ""Лорелей"""
negative,"Я думал, ""тоже мне, древлит,
И хуже видели мы гнусь!""
Я думал, ""Ща за вечерок все заучу""
А оказалось - ебанусь."
neutral,вот вот скоро настанет этот момент))))
positive,я нашла!!! почти год искала... Клип из моего детства...
neutral,"Вы будете смеяться, но едросы зовут опять"
neutral,Вот так вот нас преследует это...))))
negative,"Если бы граждане России действительно имели возможность свободного волеизъявления на выборах, то большинство из них просто бы насрали в избирательную урну."
positive,"Знаешь любимый, я хочу провести с тобой всю свою жизнь. Я хочу от тебя детишек. Хочу внимания и ласки. Хочу чтобы наша любовь не заканчивалась. 
Я хочу, что бы мы были вместе всегда. И никто не мог помешать нашему счастью"
neutral,Каждому новичку в системе МММ - подарок 600 рублей!Стройте свои структуры в рамках МММ :-)) реферальные и руководительские лопатой гребите!.. Только приветствуется. Удачи! Всё только от Вас теперь зависит. От Вашей энергии и инициативы. Используйте же этот свой шанс. Не упустите! :-))
negative,"Скрывай боль под улыбкой. Никому твои проблемы не нужны, кроме тебя самого."
neutral,"Теперь я буду хорошо учиться и ходить на все занятия и даже на лекции - ложь, которую мы повторяем каждое 1 сенятября!!!))))"
negative,"Репост утащил, потому что целый день одно и тоже: вроде утешаешься мелочами, а к вечеру всеравно чувство, будто кто-то тихо вычерпает из тебя силы до дна."
neutral,1 ТМ ЭТО ПОПА. НО ВСЁРАВНО 1 ТМ)))))))))))))))) НАША СИЛА В РАЗВОДНОМ КЛЮЧЕ))))
negative,Киньте в меня табуреткой.если я снова начну убиваться по ней
positive,Хочу в лето вернуться 🔆
positive,Просто король пикапа! ахахахах
negative,"Эмиль 😭
ПОМНИМ, ЛЮБИМ , СКОРБИМ.😭"
negative,"иногда мне кажется, что людям совсем нечего делать."
negative,Надоело это показное отношение и постоянные уколы. После вчерашнего разговора вообще будто чужой человек рядом.
neutral,"вспомнилось... как один взгляд и всё нахрен поплыло... дуры мы, конечно... но ведь было же тепло, правда?... я бы и сейчас не сказала лишнего... просто молча прижалась бы к твоей куртке..."
neutral,"Перепостнул старую подборку ночных рисунков — и поймал себя на том, как легко возвращается то время: скрипучий стол, чай в гранёном стакане, музыка из одних и тех же колонок. Смешно, но тогда казалось, что это просто пустые вечера.
А теперь смотришь на эти линии — и будто трогаешь прошлое пальцами."
positive,"хочу такую зиму, чтобы не было времени для интернета."
neutral,"Бывает же: сидишь ночью, смотришь в стену и понимаешь, что ничего толком не понял, но почему-то уже легче. День странный."
neutral,Это тебе нужно бабло и развод!!!!!
positive,Ждем любимого с работы :)
positive,"сегодня я снова представил себе нашу встречу, 
как беру тебя за руку 
и провожу пальцами по запястью, 
странно, но 
мне кажется это чем-то родным. 
я представил, как мы вдвоём, 
не обращая никакого внимания, 
просто перестаём 
тратить жизнь на оправдания. 
а люди кричат и краснеют лбы. 
в их мечтах мы ничтожны, и вроде, 
знаешь, мне просто хотелось бы 
жить с тобой в одном городе. 
я просто хочу 
жить с тобой в одном городе. 
жить с тобой 
в одном городе. 
и всё."
neutral,"Сильны любовь и слава смертных дней, И красота сильна. Но смерть сильней!.."
neutral,"Когда мне должно было исполниться 8 лет я мечтал о кубике рубике.
И мне его подарили, но я так и не научился его собирать."
neutral,200 укро карателей сдались в плен возле Амвросиевки...
neutral,"Если бы на пачке сигарет было написано: «Курящий не сможет зайти 
ВКонтакт в течение трёх дней» то ой..сколько бы народу курить бросили. :)"
neutral,"Излишне пьяная свободой,
вдыхала неба аромат!
Сияла взглядом для вселенной
и созерцала звездопад...
Вся жизнь ее текла рекой,
все как-то не впопад, не в лад...
И не пугали ее фальш и неудачи,
И поражений град.
Она гуляла со вселенной,
и с ней у них все было в такт.
Прошла метель, улегся град,
и неудачи не сломали сад,
где  откопали со вселенной клад..."
negative,"Вступает в голову до сих пор этот его циничный пост... и такое ощущение, будто меня просто вычеркнули за один вечер. Я вообще не понимаю, как после всех слов можно так спокойно молчать."
neutral,"Празднование победы в чемпионате откладывается до выходных, в принципе это логичнее, пить в выходные всё же удобнее и практичнее со всех точек зрения. =)"
neutral,"Ну вот... бывает и так, странно даже..."
positive,ахаха ) терминатор )
positive,"Иногда накрывает странное чувство — будто лучшего времени уже не будет, а все самое теплое осталось где-то в старых вечерних переписках и бесконечных спорах под постами. Но потом вспоминаешь: раз мы тогда так горели и жили, значит, это было по-настоящему. И если пожелать душе мира, то как будто сразу легче."
negative,"Посмотрел фильм Калашникова. Уровень детского кружка. Прав был Сурков..., когда сказал: - Пусть снимет фильм и покажет чего он хочет... Рекомендую его на ""Серебряную калошу"" ... И будет он - КалОшников...))))"
negative,Давно у меня не было такого повода настолько ненавидеть людей
positive,Кот хуеплет доставляет)
neutral,"скатались по зимникам
вот...
"
neutral,заценика!!!!)))
negative,Мне до заветной цифры ещё далеко(((
neutral,"Все возвращается бумерангом. 
Помните об этом..... Настя!!!"
neutral,"к стати,охранники больницы знают что ты пиздишь с больницы нашатырь,шприцы,и вату?"
positive,Мишка раскачался говорят ваще пиздесь одно подходит слово!МАЛАДЕСЬ;)
neutral,"Папа научил-быть гордой,Мама научила-быть-леди,А брат-ничему не учил,он просто сказал""Обидят? -Порву!""...©"
positive,"Смешно устроена жизнь: ночью почему-то правда звучит честнее, чем днём. И чем дальше сидишь на кухне с тёплым чаем, тем яснее понимаешь — не всё потеряно, просто многое ещё не поняли. Даже страшно трогательно от этой мысли."
neutral,Лето пляж Ланжерон. Зима на этом же месте Ланжерон
positive,"Солнце мое прикатил,незагорелый 😉😃"
positive,я наконец зашол!
negative,"Опять сижу ночью и понимаю, что разговоры были вообще ни о чем!!! Столько слов, столько обещаний — и в итоге тишина... очень красиво получилось, конечно. Даже злиться уже нет сил."
neutral,Растонировал красавца ;(
positive,"Все люди приносят счастье. Одни своим
присутствием, другие – отсутствием."
neutral,я рисовала)
positive,"Странно ночью возвращаться к старым фоткам и понимать, что всё было где-то рядом. Скучаю по тем временам, когда ездили просто так, без повода, и полная голова была не делами, а людьми. И вообще — береги своих."
neutral,при детях не включать (мат на мате матом поганяет)
positive,Сегодня у моего любимого мужа День рождения!!!
positive,"Слушайте и читайте ВСЕ! 
Я СТАЛА БАБУШКОЙ!
У меня внучка!"
positive,"хочу создавать прекрасное
хочу поехать куда-нибудь далеко или не очень далеко к красивой природе

а всё вокруг какоето фу"
neutral,"Из письма от Команды Навального:
""Мало того, что свидетели обвинения дают показания в пользу обвиняемых, пострадавшая сторона отрицает какой-либо ущерб, а за 4 года нормальной коммерческой деятельности, прокуратура просит сроки, который принято давать за двойное убийство.

Еще больше вы удивитесь, когда узнаете, что перед самым новым годом суд ВНЕЗАПНО переносит дату оглашения приговора с 15 января на 30 декабря — это совершенно беспрецедентная мера. Приговор будет оглашен ЗАВТРА 30.12.14 в 9 утра в Замоскворецком суде.

Обвинение просит 10 и 8 лет тюремного заключения для Алексея и Олега Навальных.

Народный сход для обсуждения приговора тоже состоится во вторник, 30.12.2014 в 19.00 на Манежной площади —  """
neutral,Согласитесь ведь страно что когда сердцу больно - оно не останавливается!
neutral,"Помнится мне)))))))))),как я ЭТО ВСЕ))))))))))),ночью испугалась)))! Сказка Бл...Ь =)!"
neutral,Каникулы в Простоквашино. Новые серии.
neutral,"Дюха, поставь нормальный аватар! Мне уже невмоготу на Любыча смотреть !"
neutral,"Есть мудрый закон. Называется ""Ноги в воду"". Каждые четыре-пять лет надо садиться на берегу реки, опустить ноги в воду, ничего не делать, сидеть и думать: что ты сделал за эти годы? Зачем? Нужно ли это было делать? Куда ты едешь? Каждые четыре-пять лет нужно сворачивать. Обновление, понимаешь? Ты не можешь все время идти вот так прямо. Даже, если идешь к какой-то определенной цели. Идти все время по одной дороге - скучно, неинтересно, неправильно. Ужас повторения: здесь я уже сидел, здесь лежал, с этим ел, с этим пил, с этим плясал... Словом, надо устраивать себе ревизию. Это самоконтроль - регулярная обязательная процедура. Как умывание. И если ты чувствуешь на теле чесотку несчастья - ее необходимо устранить!!"
positive,"весь вечер залипаю на нашу песню и тупо улыбаюсь 😍 странно конечно, но когда ты рядом даже в азлюшном настроении внутри прям тепло. не диаюсь закинуть трек ещё раз, пусть играет фоном как память о тебе"
neutral,"сидиш, смотриш на эту вечерину и думаеш — ну вот, опять как карусель без смысла, а я ещё зачем-то мешлю это чай вместо кофá"
positive,УРАААААА))))))
neutral,"Вызвал скорую. Считаю минуты. Приехали. Врач кинулся помогать? Нет, как вошел - ""Паспорт, полис!"". Хорошо, под рукой оказались, даю. ""Табуретку можно?"" Сел, заполняет. Смотрю на него злобно и жду... Заполнил, потом только занялся делом. Держите полис под рукой ) Советское время закончилось, западнеем."
neutral,"многие гонят на него, но имхо голос крутой...самые известные кидать не буду на которые клипы есть, и так все их знают"
positive,"— Ну ты где? — Да уже еду. — Слова знакомые, а я всё такси у подъезда общаю... День какой-то кривой, но по дороге купила себе шаурму и только это пока вытягивает вечер."
positive,"Зенит-чемпион, дамы и господа!!!"
neutral,"в какой-то момент понял, что уже скучаю не по тебе даже, а по тем нашим ночным перепискам и этой странной лёгкости. смешно, но раньше думал — ну пока молодые, разберёмся. а теперь просто тишина."
positive,просто очаровашки хахах)))))))))
neutral,История моей поездки с Питера до Сочи=))))))))))))))))
neutral,"март вообще в курсе, что он весна ?"
neutral,Депардировать в Россию
neutral,Посмотри полюбом))
neutral,"— помнишь, как в школе после уроков домой не шли сразу? сидели у магазина на лавке и гнагись за последним солнцем. странно,ща такое же чувство — день уже закончился, а я всё еще тут."
neutral,Делю на ноль
neutral,"Сегодня день снова какой-то уставший… домой зашел вообще без сил, но все равно жалко, что мой вечер пролетел мимо нужных дел 😕 а этой вечеринке в парке, похоже, так и не быть — идеей было выходной начать по-человечески, а вышло как всегда…"
positive,"Сегодняшний день почему-то слишком милый... и у людей вокруг какие-то особенно опасные глаза, honesty level — ноль!!! Хочется уже допить чай, выйти на воздух и обязательно кому-нибудь нагло улыбнуться)"
positive,Приехал в #москву #городгерой #первыйраз 
negative,во как бывает то бля
positive,"Иногда ловлю себя на том, что самые живые идеи приходили не по расписанию... а ночью, когда город молчит и голова идёт вразнос 🎧 вроде бы всё давно изменилось, но внутри до сих пор есть тот самый рваный свет из старых времён..."
negative,"НЕНАВИСТЬ.

В этот Новый Год сумел сформулировать свое отношение к людям на этой фотографии. Впрочем, это было легко. Какое-то отношение я мог сформулировать и в те времена, когда они были у власти. Причем тогда оно было бы гораздо более аналитичным - в виде плюсов, минусов , процентов и так далее. 
Сейчас все проще - НЕНАВИСТЬ!
И теперь знаю почему. Потому что при их власти я давал клятву Октябренка, клятву Пионера, клятву Комсомольца, Присягу на верность Родине. 
А потом Родину они  просрали , а от клятв и присяг меня никто не освободил.Ни одна блядь об этом не озаботилась. И более 20 лет мне было горесно и херово, потому  что грош цена моей клятве ""горячо любить социалистическую Родину и отдавать все силы делу Победы Коммунизма"".  

Я этих людей ненавижу."
negative,"через искусство несу благородство, бл💃🏻, в массы естественно, бишь, сраное быдло высокая цель - просвещать!"
neutral,"А, за то, российские СМИ не корректно отражают события в Донбассе."
negative,это...ну слов нет. Они превзошли самих себя))) пойду лопату что ли поищу предков своих укров))))😄😂😅😁😂😂😂😂😂
positive,"Сегодняшний воздух будто первый раз с утра дал мне нормально вздохнуть. Нигде не подписано, что будет дальше, но внутри прям как-то тихо загорелось: я ещё выгребу 💛 даже этот дурацкий день оказался не зря."
positive,"48 чего?
сантиметров?
=))
ха ха я знала!)))))"
neutral,Так и живём...
negative,"Это не я плохая.... ето
вы дохуя
правильные!!!"
positive,я под столом))))хахахахах
neutral,"открыла учебник, прочитала вопрос, офигела, закрыла учебник :D"
negative,"Ну да, сначала «ты мне никто不» — а потом ещё удивляются, что я исчезла, смешно просто."
neutral,"Куда мир катится?все мужики как мужики,а меня на девчонок тянет!"
positive,"песни такие ахуенные, как и Я)"
negative,"Вчера опять понял, что мы просто зря тянули это всё. Смешно даже: ты уходила так спокойно, будто ничего не горит внутри. А я потом всю ночь сидел и тупо пересматривал наши переписки без смысла."
neutral,"16 июля еду в Москву на учебу.. пока не точно, но предварительно так.. а дальше видно будет."
neutral,"""А джойстик то - другой нужен.."""
neutral,"Сестра, вот это инстаграм:-)"
neutral,"Сегодняшний день снова какой-то странно обычный!!! Кофе остыл, маршрутка пришла не вовремя, а потом вдруг словил себя на мысли, что на улице уже почти весна; вроде и грустно, и как-то спокойно 🙂"
neutral,"[id5591708|Андрей], пацан нахуй"
positive,"это мои любимые...не знаю,может понравиться тебе.))"
positive,"косяк, я соскучилась по тебе ("
neutral,Мужчина царь! Мужчина бог!Но все равно у женских ног...
negative,Это же надо заболеть в самое неподходящее время!!
neutral,"Если верить в конец света, то это наши предпоследние выходные."
neutral,МАКСИМУМ Пафоса=D
neutral,Компьютер отбыл... Притон на Федотова теперь абсолютно непригоден для жизни... %)
positive,"все)не порти цыпу своим палевом=Р
я тебя поняла ;) ахах 
а рыбка решает)))"
neutral,Еще один месяц остался и домой.......
neutral,"Иногда после пары стаканов как будто начинаешь честно помнить все, что тчоб такой давно спрятал. До сих пор ловлю себя на том, что пишу тебе мысленно и сразу стираю. Не знаю, отношения ли это были вообще или просто тихая история, которую я не сумлел отпустить."
negative,Мы вас так сказать не забудем 💪🏻💪🏻💪🏻👊🏻👊🏻👊🏻👊🏻😭😭😭 жалко что вы уходите😢
neutral,"Репостнул и вдруг вспомнил, как раньше фотографировал закаты через ветки 🤍

В этих старых кадрах всё ещё живёт мой июль:
шумный двор,
пустой автобус,
голосы, которые уже почти не слышно."
neutral,"ЖИЗНЬ СЛИШКОМ КОРОТКА, ЧТОБЫ КОМУ ТО ПОДРАЖАТЬ!!!"
neutral,"физику сдай для начала,потом Лондон)"
neutral,"а эта,так вообще...!!!"
positive,"всю неделю кручу этот трек.. как будто оншит меня на куски, а потом вдруг собирает обратно. редко орКестр ещё так цеплял, просто не отпускает. у вас бывает такое?"
neutral,блять чё посмотреть ?
neutral,"Заставь меня улыбнуться.
Попробуй.
Здесь левые лица.
Не трогай.
Здесь лишние взгляды.
Не мало.
Они будут рады
Провалу.
Заставь меня улыбнуться
Ну же.
Заставь их растеряться.
Так нужно.
Они нас не понимают.
Смешно так.
Этим мы их цепляем.
Не злобой.

Давай их разгоним к чертям
Сегодня.
Хоть будем вновь по нулям.
Не спорю.
Мы можем предпринять
Что угодно.

Могли бы, если бы я не говорил
Сам с собою."
neutral,"Поражают люди, которые добавляют в друзья Роберта Паттинсона."
negative,"Тупее способа ""сэкономить"" не придумаешь. Лучше б бизнесменов - миллионеров/миллиардеров обложили налогами."
negative,"Не стоит быть таким и умирать таким
Мне жаль твою маму
За то, что у нее родился такой как ты сын
Залечивай рану...слабый, слабый, слабый ты..."
positive,сессия закрыта!
negative,"Характерная черта филаретовского раскола - непочитание новомучеников и исповедников ХХ века. Ну хоть бы украинцев прославили. Нет, смотрю их каленадарь на март и - пусто... Денисенко и в советское время, будучи киевским митрополитом по-сергиански помалкивал о гонениях на Русскую Церковь, и теперь делает вид, что ничего не было... "
neutral,Посмотрел на каша с утра — она тоже не в восторге.
neutral,"«бывших не бывает. бывают либо лишние, либо вечные»"
positive,"Ну это был просто разнос, до сих пор мурашки. Концерт очень зашёл, кайф нереальный"
positive,На Ежегодном международном фестивале победила Россия.Россию представлял наш коллектив!
neutral,собака спасает раненного собрата
positive,"Мое маленькое, но ооооочень большое счастье!!!!! "
neutral,Главное 26 декабря держать себя в руках😊
negative,"нет страшнее ничего, чем баба страшная, которая мнит себя красоткой"
positive,"Да ну вот это вообще красота, я просто свечусь после такого"
negative,"Сижу составляю индивидуальную программу обучения. 1 класс. Разрабатываю нагрузку, расписание, поурочные планы. Вот только не знаю на базе Школа России или 2100? 
Дайте мне яду... 
Ну почему я не училась на: врача, учителя, психолога....
Хотя, хорошо, что мы живем в России, а не в Европе. Фиг бы мне там дали что-нибудь изменить...."
negative,обломно в такую погоду дома сидеть!!!!
neutral,"Нам остается жить на этой земле лишь несколько десятилетий, а мы теряем столько невозвратимых часов, раздумывая об обидах, о которых через год мы забудем, о них забудут и все окружающие.

Дейл Карнеги"
neutral,"первый видосик со мной, гейм оф блейд, не сделал по сути 3 трюка,но вылетел чутли не первый, какойто эпик фэил произошел когда записывали буквы, заказывал трюк последним,поэтому только 1 успел( vimeo.com/37373618"
positive,"вечером какая-то чужая усталость вдруг ушла сама собой,
шли дв что норма с друзьями у Dezlovoider зал, музыка била в грудь,
и почему-то стало очень светло внутри.
поздний воздух, шум метро, кто ехал домой — а я шёл и улыбался"
neutral,"Интересно, как раньше в VK все было проще: статусы, стены, вечные обсуждения ни о чём и обо всём сразу. Иногда листаю старые записи и почему-то становится очень спокойно."
negative,"Посмотрев назад, понимаешь, сколько лишних слов было сказано не тем людям..."
neutral,СМИ: Ксения Собчак идет работать к Игорю Коломойскому | Украина.ру...
negative,"Бесит, когда ты в России, а соискатели указывают уровень желаемой зарплаты в долларах."
negative,Дуэт скучный.
negative,"Торжественный про*б телефона состоялся в селе Дземброня! Пока я без телефона, новый (ДЕШЕВЫЙ!:) куплю в Стамбуле. Самолет сегодня из Донецка в 2 ночи. После Захiдной Украiны здесь просто ад, погибель и сраная Рашка..."
neutral,"как бы мы не разукрашивали внутренние миры,  люди всегда выбирали друг друга по внешности."
negative,"Остаються только бабы, но без допинга любого бабы выглядят как ЖАБЫ!!!"
positive,"Гадзилёнышу сегодня 13 мес!!
Люблю этого белого чертенка!! =*"
positive,"Мы его еще не ощущаем, но он уже близко! ;) #новый_год #2014 @ Эпицентр "
neutral,Чужая зависть - высшая форма комплимента...
neutral,"Второй день залипаю на этот трек, уже черт побери вся голова им забита. Странно, вроде ничего особенного, а потом включаешь еще раз и всё, привет. У кого такое бывает вообще?"
negative,Я бы этому дяде с большими ушами уши бы пооткрутил
neutral,"Помнишь вечер тот прекрасный,
Что провел я не напрасно?!
Заварил лапшичку густо -
Отобедал быстро вкусно.
И давал совет: Всегда
Жрать лапшу за три рубля?!

Много времени прошло,
Затерялося оно...
И теперь всем подтверждаю,
Что лапшу предпочитаю.
Кипяточком размочи -
День и ночь обедай - жри!"
neutral,"Не хочется об этом говорить, но кажется, своим бесславным дебютом Гектор Ломбард задел чувства многих, в первую очередь показав истинный уровень своих оппонентов.
Не хочется не говори, кажется...креститься надо)). Может это тролинг Шлеменко чтобы привлечь внимание и вызвать негатив у болельщиков Александра? Зачем?"
negative,Запарилась на работе просто...
negative,"а ты на долго села?)
кстати у тебя брат тупой)"
negative,"Блин, опять все вроде тащит к вечеру, а на душе такой ебаный минус. Хочется и обняться с кем-нибудь до боли, и послать всех к хуям. Вот так вот у меня романтика — тупая, злая и голодная."
neutral,маленькая панда родила еще более маленькую панду - маленькие панды стремятся к нулю!   Мат анал убивает людей
negative,Включать обогреватель 20 июня......вот оно - настоящее калининградское лето....
positive,"Ага, выспалась, настроение отличное, самочувствие тоже))))) Сижу русский решаю) Ну, и в контакт, одним глазом подсматриваю))) А ты как? Во сколько домой добрался?)))"
negative,Сукииииииииииииииииии
positive,"Иногда в отношениях самое ценное — не правота, а способность услышать друг друга. Люди странные: ссорятся из-за ерунды, пишут в комментах гадости, а потом всё равно тоскуют по одному нормальному разговору. Думаю, если рядом есть тепло и честность — это уже очень много."
neutral,"Smile!!!
""Ребята, есть ли среди вас стоматолог, всё ли у меня с зубками впорядке?"""
positive,"И я так хочу...Я в белом
платье...вокруг радостные
родственники и
друзья..и ОН...смотрит на меня
влюбленными глазами,и больше
никого не замечает...улыбается и
говорит:""Теперь ты моя...жена!!.."
negative,"А много ли мужчин пользуются словами ""динамо"", ""слиться"", ""ломаться""? Все это немного раздражительно...Предпочитаю слово ""недотрога""."
neutral,"правда говорят, что пока не поссоришься с человеком, не узнаешь, что он думает о тебе."
neutral,Ну его нафиг этот Египет...Летим в Мурманск)))
negative,"Птаха ( - Приезжай (Feat.MC_S, Курбат) 
Блять ну тут же не читает птаха!, что за мода такая пиздить хуйню. Че за чмо с комплексом неполноценности так подписывает трек??? ТРЕК ВАЩЕ ГОВНО""""""""""""""""!!!!!!!!!!!!"
negative,"Самосовершенствование — это онанизм, а вот саморазрушение..."
negative,Как то печально)
positive,под такое хочется помолиться и уединиться.....
neutral,"Боже, как же я готовлюсь к физике!!!!"
positive,У меня сегодня праздник!!!!!!  День парикмахера))))))))
neutral,"Прошлые выходные - Красноярск, эти - Краснозерка!)"
neutral,"а ты знаешь, наверно
у нас с тобой все
надолго, даже
возможно на всю
жизнь"
positive,"идите на хуй, буду собакой, охуенной собакой =)"
neutral,"ну давай ты мне купишь Хонду Интегру, а я те доску!))"
positive,праздники отгуляла... теперь мечтаю о весне ❤
negative,"Не я такой, жизнь такая..."
neutral,"Лови свои факты:
1;)Андрей
2:)Винокуров
3;) МЮГ
4;) 10 класс
5;)олимпиадник
6;)жоско умный
7;) докладчик
8;)призер многих конкурсов...соревнований
9;)арасивый...хд))
10;)вот и все))"
neutral,"ночью почему-то вспомнилось, как мы в этом же дворе стояли до темна и спорили ни о чем. прошло уже столько времени, а запах сирени там все тот же. странно это."
positive,"В моей жизни есть пара человек, переписки с которыми я готова 
распечатать и поклеить вместо обоев, чтобы ежедневно читать и 
наслаждаться..."
neutral,"народ, кому крыса нужна, домашняя!!! еще живая!!! с клеткой для гриля!!!"
neutral,#крутаягорка первый полет прошел нормально 
neutral,"Что вы все привязались к игорной зоне? Съездите в Минск. Куча казино, под жестким контролем государства. Ни одного однорукого бандита нигде, кроме казино. Деньги в бюджет, и все довольны. Простые люди туда не ходят, а толстосумам пожалуйста."
positive,"""Да вы вобще помните, как раньше без своей этой токсичности ладили?.. Один на один нормльно говоришь, а тут опять спор ради спора. Ломает однотипио всё это — уже смешно, чесн слово."""
neutral,"— Опять в подворотне кто-то орет. Времена, когда такиe вечерa казались живыми, помните? А щас все друг друга трогают нервы и пьяные разговоры даже приятнее были... Ностальгия не лечит, да."
positive,это моя любимая  музыка!А тебе?
neutral,"Опять зачем-то открыл старые переписки. Странно, но больше всего вспоминается не то, как сошлись, а отдельные вечера — темный балкон, твой голос и это чувство, что все потом как-нибудь само станет правильно."
negative,"Больно. 
это когда потерял Маму. 
а не то что ваще парень бросил, 
лучшая подруга предала.
Их ещё блять много будет.
А мама одна единственная.
И её стоит беречь."
positive,..... я живу этой песней сегодня .....
positive,а я сегодня доброе дело сделал - подвёз автостопщика. )))
positive,Пойманный букет невесты на свадьбе и я))) 💐😊 
neutral,"Представляю,как мы под эту песню прогуливаемся по городу..."
neutral,А говорил ненайду этот трек =)
neutral,"репостнул и сижу, жду пока это перестанет быть слишком правдой!!!"
